SampleID	Status
F-F-1	Frozen
F-F-2	Frozen
F-F-3	Frozen
F-F-4	Frozen
F-F-5	Frozen
F-F-6	Frozen
F-F-7	Frozen
F-F-8	Frozen
F-F-10	Frozen
F-F-11	Frozen
F-F-12	Frozen
F-F-13	Frozen
F-F-14	Frozen
F-F-15	Frozen
F-RT-1	Room temperature
F-RT-2	Room temperature
F-RT-3	Room temperature
F-RT-4	Room temperature
F-RT-5	Room temperature
F-RT-8	Room temperature
F-RT-9	Room temperature
F-RT-10	Room temperature
F-RH-1	Rehydrated
F-RH-2	Rehydrated
F-RH-3	Rehydrated
F-RH-4	Rehydrated
F-RH-5	Rehydrated
F-UNK-1	Control